Joshua 19:35	And the fenced cities [are] Ziddim, Zer, and Hammath, Rakkath, and Chinnereth,
Judges 3:9	And when the children of Israel cried unto the LORD, the LORD raised up a deliverer to the children of Israel, who delivered them, [even] Othniel the son of Kenaz, Caleb’s younger brother.
Judges 3:10	And the Spirit of the LORD came upon him, and he judged Israel, and went out to war: and the LORD delivered Chushanrishathaim king of Mesopotamia into his hand; and his hand prevailed against Chushanrishathaim.
Judges 3:11	And the land had rest forty years. And Othniel the son of Kenaz died.
Judges 3:12	And the children of Israel did evil again in the sight of the LORD: and the LORD strengthened Eglon the king of Moab against Israel, because they had done evil in the sight of the LORD.
Judges 3:13	And he gathered unto him the children of Ammon and Amalek, and went and smote Israel, and possessed the city of palm trees.
Judges 3:14	So the children of Israel served Eglon the king of Moab eighteen years.
Judges 3:15	But when the children of Israel cried unto the LORD, the LORD raised them up a deliverer, Ehud the son of Gera, a Benjamite, a man lefthanded: and by him the children of Israel sent a present unto Eglon the king of Moab.
Judges 3:16	But Ehud made him a dagger which had two edges, of a cubit length; and he did gird it under his raiment upon his right thigh.
Judges 3:17	And he brought the present unto Eglon king of Moab: and Eglon [was] a very fat man.
Judges 3:18	And when he had made an end to offer the present, he sent away the people that bare the present.
Judges 3:19	But he himself turned again from the quarries that [were] by Gilgal, and said, I have a secret errand unto thee, O king: who said, Keep silence. And all that stood by him went out from him.
Judges 3:20	And Ehud came unto him; and he was sitting in a summer parlour, which he had for himself alone. And Ehud said, I have a message from God unto thee. And he arose out of [his] seat.
Judges 3:21	And Ehud put forth his left hand, and took the dagger from his right thigh, and thrust it into his belly:
Judges 3:22	And the haft also went in after the blade; and the fat closed upon the blade, so that he could not draw the dagger out of his belly; and the dirt came out.
Judges 3:23	Then Ehud went forth through the porch, and shut the doors of the parlour upon him, and locked them.
Judges 3:24	When he was gone out, his servants came; and when they saw that, behold, the doors of the parlour [were] locked, they said, Surely he covereth his feet in his summer chamber.
Judges 3:25	And they tarried till they were ashamed: and, behold, he opened not the doors of the parlour; therefore they took a key, and opened [them]: and, behold, their lord [was] fallen down dead on the earth.
Judges 3:26	And Ehud escaped while they tarried, and passed beyond the quarries, and escaped unto Seirath.
Judges 3:27	And it came to pass, when he was come, that he blew a trumpet in the mountain of Ephraim, and the children of Israel went down with him from the mount, and he before them.
Judges 3:28	And he said unto them, Follow after me: for the LORD hath delivered your enemies the Moabites into your hand. And they went down after him, and took the fords of Jordan toward Moab, and suffered not a man to pass over.
Judges 3:29	And they slew of Moab at that time about ten thousand men, all lusty, and all men of valour; and there escaped not a man.
Judges 3:30	So Moab was subdued that day under the hand of Israel. And the land had rest fourscore years.
Judges 3:31	And after him was Shamgar the son of Anath, which slew of the Philistines six hundred men with an ox goad: and he also delivered Israel.
Judges 4:1	And the children of Israel again did evil in the sight of the LORD, when Ehud was dead.
Judges 4:2	And the LORD sold them into the hand of Jabin king of Canaan, that reigned in Hazor; the captain of whose host [was] Sisera, which dwelt in Harosheth of the Gentiles.
Judges 4:3	And the children of Israel cried unto the LORD: for he had nine hundred chariots of iron; and twenty years he mightily oppressed the children of Israel.
Judges 4:4	And Deborah, a prophetess, the wife of Lapidoth, she judged Israel at that time.
Judges 4:5	And she dwelt under the palm tree of Deborah between Ramah and Bethel in mount Ephraim: and the children of Israel came up to her for judgment.
Judges 4:6	And she sent and called Barak the son of Abinoam out of Kedeshnaphtali, and said unto him, Hath not the LORD God of Israel commanded, [saying], Go and draw toward mount Tabor, and take with thee ten thousand men of the children of Naphtali and of the children of Zebulun?
Judges 4:7	And I will draw unto thee to the river Kishon Sisera, the captain of Jabin’s army, with his chariots and his multitude; and I will deliver him into thine hand.
Judges 4:8	And Barak said unto her, If thou wilt go with me, then I will go: but if thou wilt not go with me, [then] I will not go.
Judges 4:9	And she said, I will surely go with thee: notwithstanding the journey that thou takest shall not be for thine honour; for the LORD shall sell Sisera into the hand of a woman. And Deborah arose, and went with Barak to Kedesh.
Judges 4:10	And Barak called Zebulun and Naphtali to Kedesh; and he went up with ten thousand men at his feet: and Deborah went up with him.
Judges 4:11	Now Heber the Kenite, [which was] of the children of Hobab the father in law of Moses, had severed himself from the Kenites, and pitched his tent unto the plain of Zaanaim, which [is] by Kedesh.
Judges 4:12	And they shewed Sisera that Barak the son of Abinoam was gone up to mount Tabor.
Judges 4:13	And Sisera gathered together all his chariots, [even] nine hundred chariots of iron, and all the people that [were] with him, from Harosheth of the Gentiles unto the river of Kishon.
Judges 4:14	And Deborah said unto Barak, Up; for this [is] the day in which the LORD hath delivered Sisera into thine hand: is not the LORD gone out before thee? So Barak went down from mount Tabor, and ten thousand men after him.
Judges 4:15	And the LORD discomfited Sisera, and all [his] chariots, and all [his] host, with the edge of the sword before Barak; so that Sisera lighted down off [his] chariot, and fled away on his feet.
Judges 4:16	But Barak pursued after the chariots, and after the host, unto Harosheth of the Gentiles: and all the host of Sisera fell upon the edge of the sword; [and] there was not a man left.
Judges 4:17	Howbeit Sisera fled away on his feet to the tent of Jael the wife of Heber the Kenite: for [there was] peace between Jabin the king of Hazor and the house of Heber the Kenite.
Judges 4:18	And Jael went out to meet Sisera, and said unto him, Turn in, my lord, turn in to me; fear not. And when he had turned in unto her into the tent, she covered him with a mantle.
Judges 4:19	And he said unto her, Give me, I pray thee, a little water to drink; for I am thirsty. And she opened a bottle of milk, and gave him drink, and covered him.
Judges 4:20	Again he said unto her, Stand in the door of the tent, and it shall be, when any man doth come and inquire of thee, and say, Is there any man here? that thou shalt say, No.
Judges 4:21	Then Jael Heber’s wife took a nail of the tent, and took an hammer in her hand, and went softly unto him, and smote the nail into his temples, and fastened it into the ground: for he was fast asleep and weary. So he died.
Judges 4:22	And, behold, as Barak pursued Sisera, Jael came out to meet him, and said unto him, Come, and I will shew thee the man whom thou seekest. And when he came into her [tent], behold, Sisera lay dead, and the nail [was] in his temples.
Judges 4:23	So God subdued on that day Jabin the king of Canaan before the children of Israel.
Judges 4:24	And the hand of the children of Israel prospered, and prevailed against Jabin the king of Canaan, until they had destroyed Jabin king of Canaan.
Judges 5:1	Then sang Deborah and Barak the son of Abinoam on that day, saying,
Judges 5:2	Praise ye the LORD for the avenging of Israel, when the people willingly offered themselves.
Judges 5:3	Hear, O ye kings; give ear, O ye princes; I, [even] I, will sing unto the LORD; I will sing [praise] to the LORD God of Israel.
Judges 5:4	LORD, when thou wentest out of Seir, when thou marchedst out of the field of Edom, the earth trembled, and the heavens dropped, the clouds also dropped water.
Judges 5:5	The mountains melted from before the LORD, [even] that Sinai from before the LORD God of Israel.
Judges 5:6	In the days of Shamgar the son of Anath, in the days of Jael, the highways were unoccupied, and the travellers walked through byways.
Judges 5:7	[The inhabitants of] the villages ceased, they ceased in Israel, until that I Deborah arose, that I arose a mother in Israel.
Judges 5:8	They chose new gods; then [was] war in the gates: was there a shield or spear seen among forty thousand in Israel?
Judges 5:9	My heart [is] toward the governors of Israel, that offered themselves willingly among the people. Bless ye the LORD.
Judges 5:10	Speak, ye that ride on white asses, ye that sit in judgment, and walk by the way.
Judges 5:11	[They that are delivered] from the noise of archers in the places of drawing water, there shall they rehearse the righteous acts of the LORD, [even] the righteous acts [toward the inhabitants] of his villages in Israel: then shall the people of the LORD go down to the gates.
Judges 5:12	Awake, awake, Deborah: awake, awake, utter a song: arise, Barak, and lead thy captivity captive, thou son of Abinoam.
Judges 5:13	Then he made him that remaineth have dominion over the nobles among the people: the LORD made me have dominion over the mighty.
Judges 5:14	Out of Ephraim [was there] a root of them against Amalek; after thee, Benjamin, among thy people; out of Machir came down governors, and out of Zebulun they that handle the pen of the writer.
Judges 5:15	And the princes of Issachar [were] with Deborah; even Issachar, and also Barak: he was sent on foot into the valley. For the divisions of Reuben [there were] great thoughts of heart.
Judges 5:16	Why abodest thou among the sheepfolds, to hear the bleatings of the flocks? For the divisions of Reuben [there were] great searchings of heart.
Judges 5:17	Gilead abode beyond Jordan: and why did Dan remain in ships? Asher continued on the sea shore, and abode in his breaches.
Judges 5:18	Zebulun and Naphtali [were] a people [that] jeoparded their lives unto the death in the high places of the field.
Judges 5:19	The kings came [and] fought, then fought the kings of Canaan in Taanach by the waters of Megiddo; they took no gain of money.
Judges 5:20	They fought from heaven; the stars in their courses fought against Sisera.
Judges 5:21	The river of Kishon swept them away, that ancient river, the river Kishon. O my soul, thou hast trodden down strength.
Judges 5:22	Then were the horsehoofs broken by the means of the pransings, the pransings of their mighty ones.
Judges 5:23	Curse ye Meroz, said the angel of the LORD, curse ye bitterly the inhabitants thereof; because they came not to the help of the LORD, to the help of the LORD against the mighty.
Judges 5:24	Blessed above women shall Jael the wife of Heber the Kenite be, blessed shall she be above women in the tent.
Judges 5:25	He asked water, [and] she gave [him] milk; she brought forth butter in a lordly dish.
Judges 5:26	She put her hand to the nail, and her right hand to the workmen’s hammer; and with the hammer she smote Sisera, she smote off his head, when she had pierced and stricken through his temples.
Judges 5:27	At her feet he bowed, he fell, he lay down: at her feet he bowed, he fell: where he bowed, there he fell down dead.
Judges 5:28	The mother of Sisera looked out at a window, and cried through the lattice, Why is his chariot [so] long in coming? why tarry the wheels of his chariots?
Judges 5:29	Her wise ladies answered her, yea, she returned answer to herself,
Judges 5:30	Have they not sped? have they [not] divided the prey; to every man a damsel [or] two; to Sisera a prey of divers colours, a prey of divers colours of needlework, of divers colours of needlework on both sides, [meet] for the necks of [them that take] the spoil?
Judges 5:31	So let all thine enemies perish, O LORD: but [let] them that love him [be] as the sun when he goeth forth in his might. And the land had rest forty years.
Judges 6:1	And the children of Israel did evil in the sight of the LORD: and the LORD delivered them into the hand of Midian seven years.
Judges 6:2	And the hand of Midian prevailed against Israel: [and] because of the Midianites the children of Israel made them the dens which [are] in the mountains, and caves, and strong holds.
Judges 6:3	And [so] it was, when Israel had sown, that the Midianites came up, and the Amalekites, and the children of the east, even they came up against them;
Judges 6:4	And they encamped against them, and destroyed the increase of the earth, till thou come unto Gaza, and left no sustenance for Israel, neither sheep, nor ox, nor ass.
Judges 6:5	For they came up with their cattle and their tents, and they came as grasshoppers for multitude; [for] both they and their camels were without number: and they entered into the land to destroy it.
Judges 6:6	And Israel was greatly impoverished because of the Midianites; and the children of Israel cried unto the LORD.
Judges 6:7	And it came to pass, when the children of Israel cried unto the LORD because of the Midianites,
Judges 6:8	That the LORD sent a prophet unto the children of Israel, which said unto them, Thus saith the LORD God of Israel, I brought you up from Egypt, and brought you forth out of the house of bondage;
Judges 6:9	And I delivered you out of the hand of the Egyptians, and out of the hand of all that oppressed you, and drave them out from before you, and gave you their land;
Judges 6:10	And I said unto you, I [am] the LORD your God; fear not the gods of the Amorites, in whose land ye dwell: but ye have not obeyed my voice.
Judges 6:11	And there came an angel of the LORD, and sat under an oak which [was] in Ophrah, that [pertained] unto Joash the Abiezrite: and his son Gideon threshed wheat by the winepress, to hide [it] from the Midianites.
Judges 6:12	And the angel of the LORD appeared unto him, and said unto him, The LORD [is] with thee, thou mighty man of valour.
Judges 6:13	And Gideon said unto him, Oh my Lord, if the LORD be with us, why then is all this befallen us? and where [be] all his miracles which our fathers told us of, saying, Did not the LORD bring us up from Egypt? but now the LORD hath forsaken us, and delivered us into the hands of the Midianites.
Judges 6:14	And the LORD looked upon him, and said, Go in this thy might, and thou shalt save Israel from the hand of the Midianites: have not I sent thee?
Judges 6:15	And he said unto him, Oh my Lord, wherewith shall I save Israel? behold, my family [is] poor in Manasseh, and I [am] the least in my father’s house.
Judges 6:16	And the LORD said unto him, Surely I will be with thee, and thou shalt smite the Midianites as one man.
Judges 6:17	And he said unto him, If now I have found grace in thy sight, then shew me a sign that thou talkest with me.
Judges 6:18	Depart not hence, I pray thee, until I come unto thee, and bring forth my present, and set [it] before thee. And he said, I will tarry until thou come again.
Judges 6:19	And Gideon went in, and made ready a kid, and unleavened cakes of an ephah of flour: the flesh he put in a basket, and he put the broth in a pot, and brought [it] out unto him under the oak, and presented [it].
Judges 6:20	And the angel of God said unto him, Take the flesh and the unleavened cakes, and lay [them] upon this rock, and pour out the broth. And he did so.
Judges 6:21	Then the angel of the LORD put forth the end of the staff that [was] in his hand, and touched the flesh and the unleavened cakes; and there rose up fire out of the rock, and consumed the flesh and the unleavened cakes. Then the angel of the LORD departed out of his sight.
Judges 6:22	And when Gideon perceived that he [was] an angel of the LORD, Gideon said, Alas, O Lord GOD! for because I have seen an angel of the LORD face to face.
Judges 6:23	And the LORD said unto him, Peace [be] unto thee; fear not: thou shalt not die.
Judges 6:24	Then Gideon built an altar there unto the LORD, and called it Jehovahshalom: unto this day it [is] yet in Ophrah of the Abiezrites.
Judges 6:25	And it came to pass the same night, that the LORD said unto him, Take thy father’s young bullock, even the second bullock of seven years old, and throw down the altar of Baal that thy father hath, and cut down the grove that [is] by it:
Judges 6:26	And build an altar unto the LORD thy God upon the top of this rock, in the ordered place, and take the second bullock, and offer a burnt sacrifice with the wood of the grove which thou shalt cut down.
Judges 6:27	Then Gideon took ten men of his servants, and did as the LORD had said unto him: and [so] it was, because he feared his father’s household, and the men of the city, that he could not do [it] by day, that he did [it] by night.
Judges 6:28	And when the men of the city arose early in the morning, behold, the altar of Baal was cast down, and the grove was cut down that [was] by it, and the second bullock was offered upon the altar [that was] built.
Judges 6:29	And they said one to another, Who hath done this thing? And when they inquired and asked, they said, Gideon the son of Joash hath done this thing.
Judges 6:30	Then the men of the city said unto Joash, Bring out thy son, that he may die: because he hath cast down the altar of Baal, and because he hath cut down the grove that [was] by it.
Judges 6:31	And Joash said unto all that stood against him, Will ye plead for Baal? will ye save him? he that will plead for him, let him be put to death whilst [it is yet] morning: if he [be] a god, let him plead for himself, because [one] hath cast down his altar.
Judges 6:32	Therefore on that day he called him Jerubbaal, saying, Let Baal plead against him, because he hath thrown down his altar.
Judges 6:33	Then all the Midianites and the Amalekites and the children of the east were gathered together, and went over, and pitched in the valley of Jezreel.
Judges 6:34	But the Spirit of the LORD came upon Gideon, and he blew a trumpet; and Abiezer was gathered after him.
Judges 6:35	And he sent messengers throughout all Manasseh; who also was gathered after him: and he sent messengers unto Asher, and unto Zebulun, and unto Naphtali; and they came up to meet them.
Judges 6:36	And Gideon said unto God, If thou wilt save Israel by mine hand, as thou hast said,
Judges 6:37	Behold, I will put a fleece of wool in the floor; [and] if the dew be on the fleece only, and [it be] dry upon all the earth [beside], then shall I know that thou wilt save Israel by mine hand, as thou hast said.
Judges 6:38	And it was so: for he rose up early on the morrow, and thrust the fleece together, and wringed the dew out of the fleece, a bowl full of water.
Judges 6:39	And Gideon said unto God, Let not thine anger be hot against me, and I will speak but this once: let me prove, I pray thee, but this once with the fleece; let it now be dry only upon the fleece, and upon all the ground let there be dew.
Judges 6:40	And God did so that night: for it was dry upon the fleece only, and there was dew on all the ground.
Judges 7:1	Then Jerubbaal, who [is] Gideon, and all the people that [were] with him, rose up early, and pitched beside the well of Harod: so that the host of the Midianites were on the north side of them, by the hill of Moreh, in the valley.
Judges 7:2	And the LORD said unto Gideon, The people that [are] with thee [are] too many for me to give the Midianites into their hands, lest Israel vaunt themselves against me, saying, Mine own hand hath saved me.
Judges 7:3	Now therefore go to, proclaim in the ears of the people, saying, Whosoever [is] fearful and afraid, let him return and depart early from mount Gilead. And there returned of the people twenty and two thousand; and there remained ten thousand.
Judges 7:4	And the LORD said unto Gideon, The people [are] yet [too] many; bring them down unto the water, and I will try them for thee there: and it shall be, [that] of whom I say unto thee, This shall go with thee, the same shall go with thee; and of whomsoever I say unto thee, This shall not go with thee, the same shall not go.
Judges 7:5	So he brought down the people unto the water: and the LORD said unto Gideon, Every one that lappeth of the water with his tongue, as a dog lappeth, him shalt thou set by himself; likewise every one that boweth down upon his knees to drink.
Judges 7:6	And the number of them that lapped, [putting] their hand to their mouth, were three hundred men: but all the rest of the people bowed down upon their knees to drink water.
Judges 7:7	And the LORD said unto Gideon, By the three hundred men that lapped will I save you, and deliver the Midianites into thine hand: and let all the [other] people go every man unto his place.
Judges 7:8	So the people took victuals in their hand, and their trumpets: and he sent all [the rest of] Israel every man unto his tent, and retained those three hundred men: and the host of Midian was beneath him in the valley.
Judges 7:9	And it came to pass the same night, that the LORD said unto him, Arise, get thee down unto the host; for I have delivered it into thine hand.
Judges 7:10	But if thou fear to go down, go thou with Phurah thy servant down to the host:
Judges 7:11	And thou shalt hear what they say; and afterward shall thine hands be strengthened to go down unto the host. Then went he down with Phurah his servant unto the outside of the armed men that [were] in the host.
Judges 7:12	And the Midianites and the Amalekites and all the children of the east lay along in the valley like grasshoppers for multitude; and their camels [were] without number, as the sand by the sea side for multitude.
Judges 7:13	And when Gideon was come, behold, [there was] a man that told a dream unto his fellow, and said, Behold, I dreamed a dream, and, lo, a cake of barley bread tumbled into the host of Midian, and came unto a tent, and smote it that it fell, and overturned it, that the tent lay along.
Judges 7:14	And his fellow answered and said, This [is] nothing else save the sword of Gideon the son of Joash, a man of Israel: [for] into his hand hath God delivered Midian, and all the host.
Judges 7:15	And it was [so], when Gideon heard the telling of the dream, and the interpretation thereof, that he worshipped, and returned into the host of Israel, and said, Arise; for the LORD hath delivered into your hand the host of Midian.
Judges 7:16	And he divided the three hundred men [into] three companies, and he put a trumpet in every man’s hand, with empty pitchers, and lamps within the pitchers.
Judges 7:17	And he said unto them, Look on me, and do likewise: and, behold, when I come to the outside of the camp, it shall be [that], as I do, so shall ye do.
Judges 7:18	When I blow with a trumpet, I and all that [are] with me, then blow ye the trumpets also on every side of all the camp, and say, [The sword] of the LORD, and of Gideon.
Judges 7:19	So Gideon, and the hundred men that [were] with him, came unto the outside of the camp in the beginning of the middle watch; and they had but newly set the watch: and they blew the trumpets, and brake the pitchers that [were] in their hands.
Judges 7:20	And the three companies blew the trumpets, and brake the pitchers, and held the lamps in their left hands, and the trumpets in their right hands to blow [withal]: and they cried, The sword of the LORD, and of Gideon.
Judges 7:21	And they stood every man in his place round about the camp: and all the host ran, and cried, and fled.
Judges 7:22	And the three hundred blew the trumpets, and the LORD set every man’s sword against his fellow, even throughout all the host: and the host fled to Bethshittah in Zererath, [and] to the border of Abelmeholah, unto Tabbath.
Judges 7:23	And the men of Israel gathered themselves together out of Naphtali, and out of Asher, and out of all Manasseh, and pursued after the Midianites.
Judges 7:24	And Gideon sent messengers throughout all mount Ephraim, saying, Come down against the Midianites, and take before them the waters unto Bethbarah and Jordan. Then all the men of Ephraim gathered themselves together, and took the waters unto Bethbarah and Jordan.
Judges 7:25	And they took two princes of the Midianites, Oreb and Zeeb; and they slew Oreb upon the rock Oreb, and Zeeb they slew at the winepress of Zeeb, and pursued Midian, and brought the heads of Oreb and Zeeb to Gideon on the other side Jordan.
Judges 8:1	And the men of Ephraim said unto him, Why hast thou served us thus, that thou calledst us not, when thou wentest to fight with the Midianites? And they did chide with him sharply.
Judges 8:2	And he said unto them, What have I done now in comparison of you? [Is] not the gleaning of the grapes of Ephraim better than the vintage of Abiezer?
Judges 8:3	God hath delivered into your hands the princes of Midian, Oreb and Zeeb: and what was I able to do in comparison of you? Then their anger was abated toward him, when he had said that.
Judges 8:4	And Gideon came to Jordan, [and] passed over, he, and the three hundred men that [were] with him, faint, yet pursuing [them].
Judges 8:5	And he said unto the men of Succoth, Give, I pray you, loaves of bread unto the people that follow me; for they [be] faint, and I am pursuing after Zebah and Zalmunna, kings of Midian.
Judges 8:6	And the princes of Succoth said, [Are] the hands of Zebah and Zalmunna now in thine hand, that we should give bread unto thine army?
Judges 8:7	And Gideon said, Therefore when the LORD hath delivered Zebah and Zalmunna into mine hand, then I will tear your flesh with the thorns of the wilderness and with briers.
Judges 8:8	And he went up thence to Penuel, and spake unto them likewise: and the men of Penuel answered him as the men of Succoth had answered [him].
Judges 8:9	And he spake also unto the men of Penuel, saying, When I come again in peace, I will break down this tower.
Judges 8:10	Now Zebah and Zalmunna [were] in Karkor, and their hosts with them, about fifteen thousand [men], all that were left of all the hosts of the children of the east: for there fell an hundred and twenty thousand men that drew sword.
Judges 8:11	And Gideon went up by the way of them that dwelt in tents on the east of Nobah and Jogbehah, and smote the host: for the host was secure.
Judges 8:12	And when Zebah and Zalmunna fled, he pursued after them, and took the two kings of Midian, Zebah and Zalmunna, and discomfited all the host.
Judges 8:13	And Gideon the son of Joash returned from battle before the sun [was up],
Judges 8:14	And caught a young man of the men of Succoth, and inquired of him: and he described unto him the princes of Succoth, and the elders thereof, [even] threescore and seventeen men.
Judges 8:15	And he came unto the men of Succoth, and said, Behold Zebah and Zalmunna, with whom ye did upbraid me, saying, [Are] the hands of Zebah and Zalmunna now in thine hand, that we should give bread unto thy men [that are] weary?
Judges 8:16	And he took the elders of the city, and thorns of the wilderness and briers, and with them he taught the men of Succoth.
Judges 8:17	And he beat down the tower of Penuel, and slew the men of the city.
Judges 8:18	Then said he unto Zebah and Zalmunna, What manner of men [were they] whom ye slew at Tabor? And they answered, As thou [art], so [were] they; each one resembled the children of a king.
Judges 8:19	And he said, They [were] my brethren, [even] the sons of my mother: [as] the LORD liveth, if ye had saved them alive, I would not slay you.
Judges 8:20	And he said unto Jether his firstborn, Up, [and] slay them. But the youth drew not his sword: for he feared, because he [was] yet a youth.
Judges 8:21	Then Zebah and Zalmunna said, Rise thou, and fall upon us: for as the man [is, so is] his strength. And Gideon arose, and slew Zebah and Zalmunna, and took away the ornaments that [were] on their camels’ necks.
Judges 8:22	Then the men of Israel said unto Gideon, Rule thou over us, both thou, and thy son, and thy son’s son also: for thou hast delivered us from the hand of Midian.
Judges 8:23	And Gideon said unto them, I will not rule over you, neither shall my son rule over you: the LORD shall rule over you.
Judges 8:24	And Gideon said unto them, I would desire a request of you, that ye would give me every man the earrings of his prey. (For they had golden earrings, because they [were] Ishmaelites.)
Judges 8:25	And they answered, We will willingly give [them]. And they spread a garment, and did cast therein every man the earrings of his prey.
Judges 8:26	And the weight of the golden earrings that he requested was a thousand and seven hundred [shekels] of gold; beside ornaments, and collars, and purple raiment that [was] on the kings of Midian, and beside the chains that [were] about their camels’ necks.
Judges 8:27	And Gideon made an ephod thereof, and put it in his city, [even] in Ophrah: and all Israel went thither a whoring after it: which thing became a snare unto Gideon, and to his house.
Judges 8:28	Thus was Midian subdued before the children of Israel, so that they lifted up their heads no more. And the country was in quietness forty years in the days of Gideon.
Judges 8:29	And Jerubbaal the son of Joash went and dwelt in his own house.
Judges 8:30	And Gideon had threescore and ten sons of his body begotten: for he had many wives.
Judges 8:31	And his concubine that [was] in Shechem, she also bare him a son, whose name he called Abimelech.
Judges 8:32	And Gideon the son of Joash died in a good old age, and was buried in the sepulchre of Joash his father, in Ophrah of the Abiezrites.
Judges 8:33	And it came to pass, as soon as Gideon was dead, that the children of Israel turned again, and went a whoring after Baalim, and made Baalberith their god.
Judges 8:34	And the children of Israel remembered not the LORD their God, who had delivered them out of the hands of all their enemies on every side:
Judges 8:35	Neither shewed they kindness to the house of Jerubbaal, [namely], Gideon, according to all the goodness which he had shewed unto Israel.
Judges 9:1	And Abimelech the son of Jerubbaal went to Shechem unto his mother’s brethren, and communed with them, and with all the family of the house of his mother’s father, saying,
Judges 9:2	Speak, I pray you, in the ears of all the men of Shechem, Whether [is] better for you, either that all the sons of Jerubbaal, [which are] threescore and ten persons, reign over you, or that one reign over you? remember also that I [am] your bone and your flesh.
Judges 9:3	And his mother’s brethren spake of him in the ears of all the men of Shechem all these words: and their hearts inclined to follow Abimelech; for they said, He [is] our brother.
Judges 9:4	And they gave him threescore and ten [pieces] of silver out of the house of Baalberith, wherewith Abimelech hired vain and light persons, which followed him.
Judges 9:5	And he went unto his father’s house at Ophrah, and slew his brethren the sons of Jerubbaal, [being] threescore and ten persons, upon one stone: notwithstanding yet Jotham the youngest son of Jerubbaal was left; for he hid himself.
Judges 9:6	And all the men of Shechem gathered together, and all the house of Millo, and went, and made Abimelech king, by the plain of the pillar that [was] in Shechem.
Judges 9:7	And when they told [it] to Jotham, he went and stood in the top of mount Gerizim, and lifted up his voice, and cried, and said unto them, Hearken unto me, ye men of Shechem, that God may hearken unto you.
Judges 9:8	The trees went forth [on a time] to anoint a king over them; and they said unto the olive tree, Reign thou over us.
Judges 9:9	But the olive tree said unto them, Should I leave my fatness, wherewith by me they honour God and man, and go to be promoted over the trees?
Judges 9:10	And the trees said to the fig tree, Come thou, [and] reign over us.
Judges 9:11	But the fig tree said unto them, Should I forsake my sweetness, and my good fruit, and go to be promoted over the trees?
Judges 9:12	Then said the trees unto the vine, Come thou, [and] reign over us.
Judges 9:13	And the vine said unto them, Should I leave my wine, which cheereth God and man, and go to be promoted over the trees?
Judges 9:14	Then said all the trees unto the bramble, Come thou, [and] reign over us.
Judges 9:15	And the bramble said unto the trees, If in truth ye anoint me king over you, [then] come [and] put your trust in my shadow: and if not, let fire come out of the bramble, and devour the cedars of Lebanon.
Judges 9:16	Now therefore, if ye have done truly and sincerely, in that ye have made Abimelech king, and if ye have dealt well with Jerubbaal and his house, and have done unto him according to the deserving of his hands;
Judges 9:17	(For my father fought for you, and adventured his life far, and delivered you out of the hand of Midian:
Judges 9:18	And ye are risen up against my father’s house this day, and have slain his sons, threescore and ten persons, upon one stone, and have made Abimelech, the son of his maidservant, king over the men of Shechem, because he [is] your brother;)
Judges 9:19	If ye then have dealt truly and sincerely with Jerubbaal and with his house this day, [then] rejoice ye in Abimelech, and let him also rejoice in you:
Judges 9:20	But if not, let fire come out from Abimelech, and devour the men of Shechem, and the house of Millo; and let fire come out from the men of Shechem, and from the house of Millo, and devour Abimelech.
Judges 9:21	And Jotham ran away, and fled, and went to Beer, and dwelt there, for fear of Abimelech his brother.
Judges 9:22	When Abimelech had reigned three years over Israel,
Judges 9:23	Then God sent an evil spirit between Abimelech and the men of Shechem; and the men of Shechem dealt treacherously with Abimelech:
Judges 9:24	That the cruelty [done] to the threescore and ten sons of Jerubbaal might come, and their blood be laid upon Abimelech their brother, which slew them; and upon the men of Shechem, which aided him in the killing of his brethren.
Judges 9:25	And the men of Shechem set liers in wait for him in the top of the mountains, and they robbed all that came along that way by them: and it was told Abimelech.
Judges 9:26	And Gaal the son of Ebed came with his brethren, and went over to Shechem: and the men of Shechem put their confidence in him.
Judges 9:27	And they went out into the fields, and gathered their vineyards, and trode [the grapes], and made merry, and went into the house of their god, and did eat and drink, and cursed Abimelech.
Judges 9:28	And Gaal the son of Ebed said, Who [is] Abimelech, and who [is] Shechem, that we should serve him? [is] not [he] the son of Jerubbaal? and Zebul his officer? serve the men of Hamor the father of Shechem: for why should we serve him?
Judges 9:29	And would to God this people were under my hand! then would I remove Abimelech. And he said to Abimelech, Increase thine army, and come out.
Judges 9:30	And when Zebul the ruler of the city heard the words of Gaal the son of Ebed, his anger was kindled.
Judges 9:31	And he sent messengers unto Abimelech privily, saying, Behold, Gaal the son of Ebed and his brethren be come to Shechem; and, behold, they fortify the city against thee.
Judges 9:32	Now therefore up by night, thou and the people that [is] with thee, and lie in wait in the field:
Judges 9:33	And it shall be, [that] in the morning, as soon as the sun is up, thou shalt rise early, and set upon the city: and, behold, [when] he and the people that [is] with him come out against thee, then mayest thou do to them as thou shalt find occasion.
Judges 9:34	And Abimelech rose up, and all the people that [were] with him, by night, and they laid wait against Shechem in four companies.
Judges 9:35	And Gaal the son of Ebed went out, and stood in the entering of the gate of the city: and Abimelech rose up, and the people that [were] with him, from lying in wait.
Judges 9:36	And when Gaal saw the people, he said to Zebul, Behold, there come people down from the top of the mountains. And Zebul said unto him, Thou seest the shadow of the mountains as [if they were] men.
Judges 9:37	And Gaal spake again and said, See there come people down by the middle of the land, and another company come along by the plain of Meonenim.
Judges 9:38	Then said Zebul unto him, Where [is] now thy mouth, wherewith thou saidst, Who [is] Abimelech, that we should serve him? [is] not this the people that thou hast despised? go out, I pray now, and fight with them.
Judges 9:39	And Gaal went out before the men of Shechem, and fought with Abimelech.
